514790.000000 963750.000000 -835.220000 -999   -999   835.22 Horizon "o-11bg" "UV-82" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   5      FALSE  0      0      -999   
514790.000000 963750.000000 -836.080000 -999   -999   836.08 Horizon "o-12-1" "UV-82" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   6      FALSE  0      0      -999   
514790.000000 963750.000000 -845.210000 -999   -999   845.21 Horizon "o-12-2" "UV-82" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   7      FALSE  0      0      -999   
514790.000000 963750.000000 -855.550000 -999   -999   855.55 Horizon "o-12g" "UV-82" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   8      FALSE  0      0      -999   
514790.000000 963750.000000 -856.670000 -999   -999   856.67 Horizon "o-13-1" "UV-82" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   9      FALSE  0      0      -999   
514790.000000 963750.000000 -871.910000 -999   -999   871.91 Horizon "o-13-2" "UV-82" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   10     FALSE  0      0      -999   
514790.000000 963750.000000 -883.250000 -999   -999   883.25 Horizon "o-13-Base" "UV-82" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   10     FALSE  0      0      -999   
506500.000000 958000.010000 -741.640000 -999   -999   741.64 Horizon "o-10" "CNX-2" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   0      FALSE  0      0      -999   
506500.000000 958000.010000 -758.060000 -999   -999   758.06 Horizon "o-11a" "CNX-2" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   1      FALSE  0      0      -999   
506500.000000 958000.010000 -771.600000 -999   -999   771.60 Horizon "o-11ag" "CNX-2" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   2      FALSE  0      0      -999   
506500.000000 958000.010000 -774.760000 -999   -999   774.76 Horizon "o-11b-1" "CNX-2" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   3      FALSE  0      0      -999   
506500.000000 958000.010000 -787.880000 -999   -999   787.88 Horizon "o-11b-2" "CNX-2" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   4      FALSE  0      0      -999   
506500.000000 958000.010000 -797.550000 -999   -999   797.55 Horizon "o-11bg" "CNX-2" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   5      FALSE  0      0      -999   
506500.000000 958000.010000 -800.610000 -999   -999   800.61 Horizon "o-12-1" "CNX-2" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   6      FALSE  0      0      -999   
506500.000000 958000.010000 -821.920000 -999   -999   821.92 Horizon "o-12-2" "CNX-2" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   7      FALSE  0      0      -999   
509428.060000 971296.150000 -939.470000 -999   -999   939.47 Horizon "o-10" "CES-2-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   0      FALSE  0      0      -999   
509428.060000 971296.150000 -956.770000 -999   -999   956.77 Horizon "o-11a" "CES-2-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   1      FALSE  0      0      -999   
509428.060000 971296.150000 -964.610000 -999   -999   964.61 Horizon "o-11ag" "CES-2-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   2      FALSE  0      0      -999   
509428.060000 971296.150000 -965.810000 -999   -999   965.81 Horizon "o-11b-1" "CES-2-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   3      FALSE  0      0      -999   
509428.060000 971296.150000 -984.540000 -999   -999   984.54 Horizon "o-11b-2" "CES-2-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   4      FALSE  0      0      -999   
509428.060000 971296.150000 -1007.530000 -999   -999   1007.53 Horizon "o-11bg" "CES-2-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   5      FALSE  0      0      -999   
509428.060000 971296.150000 -1009.210000 -999   -999   1009.21 Horizon "o-12-1" "CES-2-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   6      FALSE  0      0      -999   
509428.060000 971296.150000 -1026.740000 -999   -999   1026.74 Horizon "o-12-2" "CES-2-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   7      FALSE  0      0      -999   
509428.060000 971296.150000 -1044.130000 -999   -999   1044.13 Horizon "o-12g" "CES-2-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   8      FALSE  0      0      -999   
509428.060000 971296.150000 -1046.290000 -999   -999   1046.29 Horizon "o-13-1" "CES-2-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   9      FALSE  0      0      -999   
509428.060000 971296.150000 -1057.230000 -999   -999   1057.23 Horizon "o-13-2" "CES-2-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   10     FALSE  0      0      -999   
509428.060000 971296.150000 -1067.150000 -999   -999   1067.15 Horizon "o-13-Base" "CES-2-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   10     FALSE  0      0      -999   
507816.300000 959599.600000 -765.140000 -999   -999   765.14 Horizon "o-10" "CIS-1-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   0      FALSE  0      0      -999   
507816.300000 959599.600000 -779.700000 -999   -999   779.70 Horizon "o-11a" "CIS-1-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   1      FALSE  0      0      -999   
507816.300000 959599.600000 -786.380000 -999   -999   786.38 Horizon "o-11ag" "CIS-1-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   2      FALSE  0      0      -999   
507816.300000 959599.600000 -789.080000 -999   -999   789.08 Horizon "o-11b-1" "CIS-1-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   3      FALSE  0      0      -999   
507816.300000 959599.600000 -802.810000 -999   -999   802.81 Horizon "o-11b-2" "CIS-1-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   4      FALSE  0      0      -999   
507816.300000 959599.600000 -817.650000 -999   -999   817.65 Horizon "o-11bg" "CIS-1-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   5      FALSE  0      0      -999   
507816.300000 959599.600000 -819.920000 -999   -999   819.92 Horizon "o-12-1" "CIS-1-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   6      FALSE  0      0      -999   
507816.300000 959599.600000 -828.990000 -999   -999   828.99 Horizon "o-12-2" "CIS-1-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   7      FALSE  0      0      -999   
507816.300000 959599.600000 -842.700000 -999   -999   842.70 Horizon "o-12g" "CIS-1-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   8      FALSE  0      0      -999   
507816.300000 959599.600000 -844.390000 -999   -999   844.39 Horizon "o-13-1" "CIS-1-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   9      FALSE  0      0      -999   
507816.300000 959599.600000 -851.920000 -999   -999   851.92 Horizon "o-13-2" "CIS-1-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   10     FALSE  0      0      -999   
507816.300000 959599.600000 -857.960000 -999   -999   857.96 Horizon "o-13-Base" "CIS-1-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   10     FALSE  0      0      -999   
507883.410000 966841.260000 -910.400000 -999   -999   910.40 Horizon "o-10" "CIS-2-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   0      FALSE  0      0      -999   
507883.410000 966841.260000 -928.320000 -999   -999   928.32 Horizon "o-11a" "CIS-2-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   1      FALSE  0      0      -999   
507883.410000 966841.260000 -931.330000 -999   -999   931.33 Horizon "o-11ag" "CIS-2-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   2      FALSE  0      0      -999   
507883.410000 966841.260000 -935.220000 -999   -999   935.22 Horizon "o-11b-1" "CIS-2-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   3      FALSE  0      0      -999   
507883.410000 966841.260000 -950.100000 -999   -999   950.10 Horizon "o-11b-2" "CIS-2-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   4      FALSE  0      0      -999   
507883.410000 966841.260000 -962.980000 -999   -999   962.98 Horizon "o-11bg" "CIS-2-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   5      FALSE  0      0      -999   
507883.410000 966841.260000 -965.690000 -999   -999   965.69 Horizon "o-12-1" "CIS-2-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   6      FALSE  0      0      -999   
507883.410000 966841.260000 -977.440000 -999   -999   977.44 Horizon "o-12-2" "CIS-2-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   7      FALSE  0      0      -999   
507883.410000 966841.260000 -987.990000 -999   -999   987.99 Horizon "o-12g" "CIS-2-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   8      FALSE  0      0      -999   
507883.410000 966841.260000 -988.800000 -999   -999   988.80 Horizon "o-13-1" "CIS-2-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   9      FALSE  0      0      -999   
507883.410000 966841.260000 -998.940000 -999   -999   998.94 Horizon "o-13-2" "CIS-2-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   10     FALSE  0      0      -999   
507883.410000 966841.260000 -1008.420000 -999   -999   1008.42 Horizon "o-13-Base" "CIS-2-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   10     FALSE  0      0      -999   
514217.560000 963200.120000 -822.230000 -999   -999   822.23 Horizon "o-10" "CJS-1-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   0      FALSE  0      0      -999   
514217.560000 963200.120000 -833.060000 -999   -999   833.06 Horizon "o-11a" "CJS-1-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   1      FALSE  0      0      -999   
514217.560000 963200.120000 -837.800000 -999   -999   837.80 Horizon "o-11ag" "CJS-1-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   2      FALSE  0      0      -999   
514217.560000 963200.120000 -840.570000 -999   -999   840.57 Horizon "o-11b-1" "CJS-1-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   3      FALSE  0      0      -999   
514217.560000 963200.120000 -850.090000 -999   -999   850.09 Horizon "o-11b-2" "CJS-1-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   4      FALSE  0      0      -999   
514217.560000 963200.120000 -860.780000 -999   -999   860.78 Horizon "o-11bg" "CJS-1-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   5      FALSE  0      0      -999   
514217.560000 963200.120000 -861.260000 -999   -999   861.26 Horizon "o-12-1" "CJS-1-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   6      FALSE  0      0      -999   
514217.560000 963200.120000 -872.880000 -999   -999   872.88 Horizon "o-12-2" "CJS-1-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   7      FALSE  0      0      -999   
514217.560000 963200.120000 -882.360000 -999   -999   882.36 Horizon "o-12g" "CJS-1-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   8      FALSE  0      0      -999   
514217.560000 963200.120000 -882.720000 -999   -999   882.72 Horizon "o-13-1" "CJS-1-0" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   9      FALSE  0      0      -999   
509600.000000 958900.000000 -767.160000 -999   -999   767.16 Horizon "o-10" "CN-39" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   0      FALSE  0      0      -999   
509600.000000 958900.000000 -784.150000 -999   -999   784.15 Horizon "o-11a" "CN-39" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   1      FALSE  0      0      -999   
509600.000000 958900.000000 -790.890000 -999   -999   790.89 Horizon "o-11ag" "CN-39" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   2      FALSE  0      0      -999   
509600.000000 958900.000000 -792.980000 -999   -999   792.98 Horizon "o-11b-1" "CN-39" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   3      FALSE  0      0      -999   
509600.000000 958900.000000 -805.000000 -999   -999   805.00 Horizon "o-11b-2" "CN-39" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   4      FALSE  0      0      -999   
509600.000000 958900.000000 -817.240000 -999   -999   817.24 Horizon "o-11bg" "CN-39" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   5      FALSE  0      0      -999   
509600.000000 958900.000000 -819.230000 -999   -999   819.23 Horizon "o-12-1" "CN-39" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   6      FALSE  0      0      -999   
509600.000000 958900.000000 -836.400000 -999   -999   836.40 Horizon "o-12-2" "CN-39" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   7      FALSE  0      0      -999   
509600.000000 958900.000000 -843.060000 -999   -999   843.06 Horizon "o-12g" "CN-39" "" -999   -999   -999   -999   -999   -999   -999   -999   TRUE   TRUE   8      FALSE  0      0      -999   
